"BCPD","Lifestage","Sex","Size","Morph","Morph2","Fecundity","Surface_area"
"0540","A","F",6.906,"RB","RB",44,3.000979917
"0350","A","F",6.917,"RB","RB",0,3.137737386
"0477","A","M",6.387,"RB","RB",NA,1.492986282
"0569","A","F",7.017,"RB","RB",61,2.755417367
"0538","A","F",7.03,"RB","RB",74,2.460685867
"0494","A","M",5.971,"RB","RB",NA,1.127119546
"0102","A","F",7.047,"RB","RB",61,3.996592555
"0233","A","F",7.07,"RB","RB",99,3.967437195
"0537","A","F",7.071,"RB","RB",0,2.943507843
"0531","A","F",7.072,"RB","RB",32,2.391410378
"0322","A","F",7.093,"RB","RB",70,3.106053769
"0460","A","F",7.172,"RB","RB",71,2.170634721
"0509","A","M",6.842,"RB","RB",NA,1.321251297
"0541","A","F",7.222,"RB","RB",71,2.879662493
"0456","A","F",7.237,"RB","RB",46,3.768980597
"0101","A","F",7.246,"RB","RB",45,3.334047628
"0568","A","F",7.276,"RB","RB",67,3.228061469
"0192","A","F",7.281,"RB","RB",102,3.335688255
"0532","A","M",6.204,"RB","RB",NA,1.350773329
"0528","A","F",7.402,"RB","RB",46,2.184754021
"0536","A","M",7.937,"RB","RB",NA,2.284718012
"0418","A","F",7.431,"RB","RB",97,2.964049755
"0539","A","M",8.28,"RB","RB",NA,2.635113209
"0403","A","F",7.468,"RB","RB",81,2.903716077
"0516","A","F",7.519,"RB","RB",45,2.539965146
"0550","A","M",6.429,"RB","RB",NA,1.474399863
"0373","A","F",7.559,"RB","RB",86,2.466044386
"0371","A","F",7.609,"RB","RB",81,4.061051282
"0581","A","F",7.61,"RB","RB",48,3.362834982
"0562","A","M",8.1,"RB","RB",NA,1.672515279
"0496","A","F",7.699,"RB","RB",76,3.021636003
"0565","A","M",6.504,"RB","RB",NA,1.623163956
"0106","A","F",7.704,"RB","RB",0,3.710018619
"0099","A","F",7.722,"RB","RB",66,4.119056568
"0381","A","F",7.779,"RB","RB",36,4.098814226
"0571","A","M",8.753,"RB","RB",NA,1.715149896
"0572","A","M",9.253,"RB","RB",NA,2.888461494
"0573","A","M",8.931,"RB","RB",NA,2.75264569
"0575","A","F",7.913,"RB","RB",0,3.079820197
"0579","A","M",6.163,"RB","RB",NA,1.44516143
"0113","A","F",8.168,"RB","RB",0,3.898363781
"0344","A","F",8.194,"RB","RB",119,3.39095249
"0196","A","F",8.234,"RB","RB",130,4.844476046
"0596","A","M",6.712,"RB","RB",NA,1.502198692
"0224","A","F",8.674,"RB","RB",121,4.618085802
"0558","A","F",8.699,"RB","RB",101,3.768678965
"0384","A","F",8.743,"RB","RB",96,4.084270882
"0577","A","F",8.751,"RB","RB",23,3.784623418
"0583","A","F",9.612,"RB","RB",153,5.612929528
"0631","A","M",4.873,"RB","RB",NA,0.806275807
"0635","A","M",3.447,"RB","RB",NA,0.852806454
"0619","A","F",5.058,"W","W",NA,1.498240206
"0115","A","M",4.551,"W","W",NA,1.204804116
"0117","A","M",5.721,"W","W",NA,1.023781749
"0511","A","F",5.171,"W","W",10,1.20909795
"0198","A","M",4.447,"W","W",NA,0.674829121
"0218","A","M",5.434,"W","W",NA,1.037979281
"0225","A","M",7.756,"W","W",NA,2.747094098
"0534","A","F",5.778,"W","W",21,2.065058091
"0236","A","M",4.81,"W","W",NA,0.80084902
"0503","A","F",6.044,"W","W",31,1.884654732
