"BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c"
"0538","A","F","red_speckle_stripes",0.303436333,7.999999946,0.103088929,6.20411236,3.314808111,2.479794744
"0494","A","M","red_gold",0.328712945,11.3137084,0.091830257,8.80136237,5.240794334,4.037992302
"0102","A","F","red_beige",0.489218766,90.50966632,0.096981418,9.762418927,5.003688267,2.633302049
"0233","A","F","red_beige",0.41905314,90.50966632,0.115279405,8.556367693,5.514678053,4.005582865
"0537","A","F","red_beige",0.404336678,90.50966632,0.104592722,8.834886982,4.317879108,3.244662891
"0531","A","F","red_beige",0.429924157,63.99999893,0.098961584,9.469256935,5.71019791,3.931685948
"0322","A","F","beige_pink",0.741165354,127.9999974,0.119242765,14.00298561,9.67993471,6.336052033
"0460","A","F","red_gold",0.346226979,90.50966632,0.096198828,9.020640898,5.174245586,3.51419614
"0509","A","M","red_gold",0.268033788,90.50966632,0.086752623,8.160013371,4.932140905,3.647658165
"0541","A","F","red_speckle",0.201189035,15.99999984,0.102652741,6.631942945,2.275614125,1.816005498
"0456","A","F","red_gold",0.35606618,90.50966632,0.121585316,8.692154774,3.743328209,2.45759339
"0101","A","F","beige_fluor",0.903243672,90.50966632,0.102923195,17.13803025,11.901295301,6.668969984
"0568","A","F","red",0.358760213,90.50966632,0.115475375,10.708334511,4.476812345,3.821602023
"0192","A","F","beige",0.490034408,90.50966632,0.11246164,10.121872915,7.158919412,4.327202134
"0532","A","M","red_beige",0.224265169,15.99999984,0.09414109,7.702903941,3.146645218,2.352844712
"0528","A","F","red_beige",0.39467831,22.62741673,0.1003901,9.057008914,4.600950574,3.472810731
"0536","A","M","red_gold",0.297071196,15.99999984,0.096024174,8.195037394,3.644992835,2.727014291
"0418","A","F","red_speckle",0.124183126,15.99999984,0.088403421,5.835033859,2.379462116,1.917972384
"0539","A","M","red_beige",0.287617242,15.99999984,0.090424185,8.683031869,3.903551317,2.74610225
"0403","A","F","beige_red",0.51536831,90.50966632,0.10025035,10.327486053,6.726804256,4.524818789
"0516","A","F","red_speckle",0.210828076,22.62741673,0.088834302,6.908383562,3.262328929,2.205207476
"0550","A","M","red_speckle",0.289589531,45.25483331,0.100789937,9.811859905,3.874736961,3.153110506
"0373","A","F","red_beige",0.374644761,22.62741673,0.099667013,8.705542916,4.94260753,4.016807361
"0371","A","F","red_beige",0.375120493,22.62741673,0.099528534,8.075354955,4.655334767,3.702453487
"0581","A","F","red_speckle",0.289972114,90.50966632,0.108646446,8.59882212,3.100076032,2.238406123
"0562","A","M","red",0.144851137,90.50966632,0.091386353,7.153975561,2.278779022,1.734842504
"0496","A","F","red_beige",0.409745568,90.50966632,0.105673024,9.239258958,5.388848386,4.164150961
"0565","A","M","red_gold",0.226570027,127.9999974,0.086365293,8.114864972,4.529727636,3.405739366
"0106","A","F","gold_yellow",0.90346291,90.50966632,0.126831137,16.47574966,11.139364207,5.921218362
