"BCPD","Image","Morph","Sex","Microhabitat_Association","Viewpoint","Microhabitat","Background","e_max_diff","Filter_max_diff","e_prop_diff","R_c_diff","G_c_diff","B_c_diff"
"0396","0503","W","F","Absent","0","Red_Algae","Hydroid",0.221322494,5.525483316,0.0340993792,1.583206721,1.5837214428,1.2213853438
"0396","0504","W","F","Absent","0","Red_Algae","Hydroid",0.1942616214,4.749033124,0.0271311716,1.3645885384,1.0660760692,0.6824155636
"0396","0505","W","F","Present","0","Red_Algae","Red_Algae",0.6946043092,17.937257978,0.0372778018,9.9450017604,6.23420204,3.3100320588
"0396","0507","W","F","Absent","0","Red_Algae","Hydroid",0.1456725944,21.203866822,0.0286117006,2.1139805788,1.7094005812,0.7910824182
"0396","0507_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.4282097492,14.25483374,0.0318062622,6.588443936,6.538745387,5.9517362084
"0396","0509","W","F","Absent","0","Red_Algae","Hydroid",0.5082497848,23.078383406,0.0457262542,4.8565146928,3.3102432286,1.4398428464
"0396","0509_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.3008669852,14.027416758,0.0385642868,5.840439698,6.4561703022,6.5964527422
"0396","0510","W","F","Absent","0","Red_Algae","Hydroid",0.4910471558,29.2842707478,0.0326737862,4.3767166638,3.9481581652,1.7645140426
"0396","0510_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.2104208344,28.541125002,0.028901807,4.597481374,5.67825986,5.3341581962
"0396","0511","W","F","Absent","0","Red_Algae","Hydroid",0.248055237,21.59209192,0.033730442,2.2051367128,2.1945383634,1.065315614
"0396","0511_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.2342724896,20.266608542,0.0305437122,3.4953798508,3.668163037,3.333926197
"0396","0512","W","F","Absent","0","Red_Algae","Hydroid",0.2094856214,15.901933326,0.0397550356,1.8490381458,2.0951103662,1.406861143
"0396","0512_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.2085509254,10.050966632,0.0327504004,2.9711970802,3.9378719046,4.0777791548
"0396","0599","W","F","Absent","0","Red_Algae","Hydroid",0.3984015632,24.952899958,0.0274025664,3.8233864896,2.0272053386,0.9009614642
"0396","0599_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.2347294,28.929350092,0.031970452,3.985000436,5.278027297,4.8130641548
"0396","0615","W","F","Absent","0","Red_Algae","Hydroid",0.1871743052,27.215641624,0.0287240078,2.1942720358,2.2554520838,0.7814370852
"0396","0616","W","F","Absent","0","Red_Algae","Hydroid",0.1689562758,21.59209192,0.034506534,1.1815578696,2.0562864712,0.8316530154
"0396","0618","W","F","Absent","0","Red_Algae","Hydroid",0.3000416252,23.854833578,0.029839595,2.9969806714,1.9085095284,0.9304136366
"0396","0619","W","F","Absent","0","Red_Algae","Hydroid",0.204692803,11.603866992,0.021370334,1.7795785506,1.8713588608,0.88247199
"0396","0620","W","F","Absent","0","Red_Algae","Hydroid",0.2441856492,19.329350254,0.0290095848,2.6520945522,0.781016726,1.2913882892
"0396","0621","W","F","Absent","0","Red_Algae","Hydroid",0.2136342102,3.650966748,0.0282026412,2.4418331958,1.28264212,1.6328558736
"0396","0622","W","F","Absent","0","Red_Algae","Hydroid",0.2103966704,31.741124956,0.0292373834,2.4102507052,1.0347486324,1.1777672226
"0396","0631","W","F","Absent","0","Red_Algae","Hydroid",0.4064905628,14.25483374,0.0399618778,4.5589521682,1.3942980458,0.4772158602
"0396","0634","W","F","Absent","0","Red_Algae","Hydroid",0.2184572524,21.203866822,0.0336558238,1.571043243,1.5008914036,1.2909574182
"0396","0635","W","F","Absent","0","Red_Algae","Hydroid",0.2278608682,21.203866822,0.03437311,1.8571869324,1.0197443046,0.3431616522
"0403","0396","RB","F","Absent","0","Hydroid","Red_Algae",0.5135473408,16.4274167286,0.0110527854,6.9344638244,5.2939962486,3.5344039754
"0403","0403","RB","F","Present","0","Hydroid","Hydroid",0.1442730138,11.149032996,0.00829626600000001,1.4997684664,1.3704808252,0.7856467676
"0403","0404","RB","F","Present","0","Hydroid","Hydroid",0.1013813298,16.839191614,0.00840369739999999,1.019308517,0.9876673648,0.5791486986
"0403","0406","RB","F","Present","0","Hydroid","Hydroid",0.1500080294,19.878383444,0.0065839064,2.9485958334,1.2090719866,0.8929989796
"0403","0406_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.6686051088,14.25483374,0.017583115,8.955716875,7.1235302528,4.797554013
"0403","0412","RB","F","Present","0","Hydroid","Hydroid",0.1561189132,18.003866876,0.0101478166,1.8136347036,2.2562012624,1.6814488656
"0403","0415","RB","F","Present","0","Hydroid","Hydroid",0.1423136366,18.003866884,0.0086338654,1.9842840226,2.7619322336,1.8052575506
"0403","0415_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.7572773676,6.301933496,0.0158285778,9.711038025,8.3889579652,6.7386486876
"0403","0416","RB","F","Present","0","Hydroid","Hydroid",0.1601654702,24.403866768,0.0058980016,1.7642690264,2.8089156032,2.6842709584
"0403","0416_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.4688431614,27.054833524,0.006426543,8.718269671,6.7020123964,5.7018086882
"0403","0423","RB","F","Absent","0","Hydroid","Red_Algae",0.5025050442,5.525483316,0.0091392554,7.6375146584,5.4688087048,3.4277043658
"0403","0425","RB","F","Present","0","Hydroid","Hydroid",0.1201187542,22.5293502,0.00989363980000001,2.18396153,1.3191569806,0.36983845
"0403","0425_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.8976751688,23.62741658,0.0085346492,12.188611907,11.802504759,9.9157144074
"0403","0427","RB","F","Absent","0","Hydroid","Red_Algae",0.5079126034,17.454833686,0.0072226954,7.7691755446,5.2923303352,3.1548048936
"0403","0428","RB","F","Absent","0","Hydroid","Red_Algae",0.513275243,20.427416642,0.006699281,7.4033398888,5.3006037754,3.2210628026
"0403","0429","RB","F","Present","0","Hydroid","Hydroid",0.2316254888,11.603866992,0.0127159326,1.5833769098,3.5135541804,3.022921622
"0403","0431","RB","F","Present","0","Hydroid","Hydroid",0.1187962454,5.525483316,0.0090663704,1.632432387,1.0981692884,0.961243983
"0403","0431_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.6107833654,5.525483316,0.0182284972,7.235649293,6.9331661016,5.8261044266
"0403","0433","RB","F","Absent","0","Hydroid","Red_Algae",0.4986702638,15.741125226,0.0101604,7.5368298374,5.5931947934,3.554611102
"0403","0434","RB","F","Present","0","Hydroid","Hydroid",0.2969390444,20.266608542,0.0043442466,2.3700654476,3.746550932,2.321515529
"0403","0434_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.6337816938,27.215641624,0.00936940620000001,8.093215925,6.8321803614,6.2455481874
"0403","0435","RB","F","Present","0","Hydroid","Hydroid",0.3715241016,26.278383336,0.0130810276,5.243695115,4.7489034858,4.6066734926
"0403","0435_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.3409162462,25.729350154,0.008165899,3.1654044978,3.8996450848,2.4216025668
"0403","0436","RB","F","Present","0","Hydroid","Hydroid",0.3188319682,21.0901583488,0.0117758224,3.3747324696,3.3446493468,1.926321119
"0403","0436_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.5371760494,14.25483374,0.0212763348,3.547584527,2.8660538992,3.2729902052
"0403","0438","RB","F","Absent","0","Hydroid","Red_Algae",0.5263266186,30.1979792404,0.0123977786,7.3016747988,5.1864088702,3.1452638062
"0403","0440","RB","F","Present","0","Hydroid","Hydroid",0.1803747338,9.27451644,0.0067877774,2.4409938052,1.2599320136,0.8381419094
"0403","0442","RB","F","Present","0","Hydroid","Hydroid",0.0929035,14.25483374,0.00749759980000001,1.3020306814,0.3254953252,0.5399096426
"0403","0445","RB","F","Present","0","Hydroid","Hydroid",0.169073981,14.803866938,0.0054232168,1.5791109178,1.8084453868,1.5844623898
"0403","0445_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",1.055001782,19.329350254,0.0095065296,14.502327979,13.278788063,10.8483315452
"0403","0447","RB","F","Present","0","Hydroid","Hydroid",0.2141340954,12.70193338,0.01255906,1.88901737,1.7969861888,1.5384823878
"0403","0447_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.6877218066,11.603866992,0.0059615844,11.042291371,10.1817152024,8.1323461294
"0403","0451","RB","F","Present","0","Hydroid","Hydroid",0.2117598008,26.278383336,0.0147836332,2.3846178274,4.1981066596,3.275561295
"0403","0454","RB","F","Present","0","Hydroid","Hydroid",0.1580159464,17.227416712,0.0116809668,1.9008877122,1.290985758,1.3501199108
"0403","0454_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.691751207,3.650966748,0.0209952738,8.506899549,7.8309867868,6.286270082
"0403","0456","RB","F","Present","0","Hydroid","Hydroid",0.1617674052,21.59209192,0.007291988,0.7788330268,2.8369469666,2.2212331016
"0403","0456_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",1.1023345718,6.301933496,0.0188871232,14.639329419,11.189069849,8.4948433356
"0403","0457","RB","F","Present","0","Hydroid","Hydroid",0.0801313846,17.227416696,0.005628272,1.2265765428,2.3892188354,2.5531943476
"0403","0457_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.7655317642,13.47838356,0.0112213472,10.143040553,7.3754073792,5.7959093712
"0403","0458","RB","F","Absent","0","Hydroid","Red_Algae",0.5114539302,29.3646747888,0.0093144572,5.4140796766,5.5516320544,3.7233022216
"0403","0460","RB","F","Present","0","Hydroid","Hydroid",0.1541549058,6.301933496,0.019319616,1.960003702,2.5475202396,1.1300642688
"0403","0461","RB","F","Present","0","Hydroid","Hydroid",0.1614283642,10.050966632,0.00476805,2.1425394274,0.675497756,0.98581138
"0403","0469","RB","F","Present","0","Hydroid","Hydroid",0.18595843,7.788224982,0.0113327588,2.796552887,1.2175954538,1.059998294
"0403","0472","RB","F","Present","0","Hydroid","Hydroid",0.1563600746,8.176450064,0.00897486240000001,2.0539149986,0.8130905026,1.0518588046
"0403","0476","RB","F","Present","0","Hydroid","Hydroid",0.1272492824,3.650966748,0.0150763514,1.7297644448,0.807419117,1.3231401694
"0403","0477","RB","F","Present","0","Hydroid","Hydroid",0.120322236,9.501933442,0.0057961496,1.4285541936,0.7968456888,0.6130937164
"0403","0487","RB","F","Present","0","Hydroid","Hydroid",0.1187974018,13.47838356,0.008608785,2.5651429774,0.9882261548,0.7058737032
"0403","0488","RB","F","Present","0","Hydroid","Hydroid",0.1186062292,19.329350254,0.0071332674,2.4707597766,1.6059552452,1.1895473894
"0403","0489","RB","F","Present","0","Hydroid","Hydroid",0.1143542812,17.454833686,0.0105656036,1.8169124996,1.3358345412,1.0573657598
"0403","0490","RB","F","Present","0","Hydroid","Hydroid",0.2714370784,29.6724958378,0.008372948,2.1846535028,3.0731942052,2.2388980096
"0403","0491","RB","F","Present","0","Hydroid","Hydroid",0.1647556616,13.090158478,0.0068145312,1.9432101822,2.5236225512,1.7096320232
"0403","0493","RB","F","Present","0","Hydroid","Hydroid",0.164685005,15.741125226,0.0124848144,2.1113994474,2.3788824236,1.7694875658
"0403","0494","RB","F","Present","0","Hydroid","Hydroid",0.2452423808,25.729350146,0.00912475019999999,1.8511467674,2.9360275368,2.0523980932
"0403","0496","RB","F","Present","0","Hydroid","Hydroid",0.090913293,8.176450064,0.0121817414,1.156472697,0.948621462,0.966480729
"0403","0498","RB","F","Present","0","Hydroid","Hydroid",0.1310969816,21.59209192,0.0072274326,1.485947694,1.4405613528,1.2414435854
"0403","0499","RB","F","Present","0","Hydroid","Hydroid",0.0697397738,14.027416758,0.00994314100000001,1.3380649026,1.038790095,0.9586477244
"0403","0501","RB","F","Present","0","Hydroid","Hydroid",0.0804609286,6.301933496,0.0048708606,1.0588948712,1.3692658956,1.056146693
"0403","0503","RB","F","Present","0","Hydroid","Hydroid",0.1168419436,5.525483316,0.0067762628,1.5497742212,1.6786845756,0.7592065772
"0403","0504","RB","F","Present","0","Hydroid","Hydroid",0.1011809398,4.749033124,0.0137444704,1.1776176302,1.0977304468,0.9844128158
"0403","0505","RB","F","Absent","0","Hydroid","Red_Algae",0.4520594852,17.937257978,0.0152141674,7.7904650734,6.075930152,4.1691105158
"0403","0507","RB","F","Present","0","Hydroid","Hydroid",0.1857191024,21.203866822,0.0122639414,3.358978231,1.7410549588,1.11687092
"0403","0507_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.6707545732,14.25483374,0.0090693798,8.742980623,6.697017275,5.0926577514
"0403","0509","RB","F","Present","0","Hydroid","Hydroid",0.2657049608,23.078383406,0.0085889818,2.7019780058,3.1519713406,2.2989213034
"0403","0509_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.5434118092,14.027416758,0.00675264240000001,7.994976385,6.6144421902,5.7373742852
"0403","0510","RB","F","Present","0","Hydroid","Hydroid",0.2485023318,29.2842707478,0.011448985,2.6020237736,3.7898862772,2.6235924996
"0403","0510_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.4529656584,28.541125002,0.011973835,6.752018061,5.836531748,4.4750797392
"0403","0511","RB","F","Present","0","Hydroid","Hydroid",0.2119638718,21.59209192,0.0156911492,2.6360440502,2.226192741,1.1075674354
"0403","0511_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.379799384,20.266608542,0.0134672078,4.788101863,3.7631261698,2.4947558748
"0403","0512","RB","F","Present","0","Hydroid","Hydroid",0.1692030394,15.901933326,0.0069006972,2.9600688584,2.190073499,0.8914140688
"0403","0512_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.3540778198,10.050966632,0.012572246,4.5043844468,4.0961437926,3.2187006978
"0403","0599","RB","F","Present","0","Hydroid","Hydroid",0.211453994,24.952899958,0.0134730756,2.5306644774,1.9322422058,1.4476115456
"0403","0599_BRYO","RB","F","Absent","0","Hydroid","Hydroid_Bryozoa",0.477274224,28.929350092,0.00890519,6.139537123,5.436299185,3.9539856978
