"BCPD","Lifestage","Sex","Size","Morph","Morph2","Fecundity","Surface_area"
"0318","A","F",6.638,"RB","RB",34,2.941296948
"0186","A","F",6.649,"RB","RB",29,2.531703915
"0074","A","F",6.676,"RB","RB",64,NA
"0370","A","F",6.742,"RB","RB",37,NA
"0405","A","F",6.746,"RB","RB",49,2.452189082
"0342","A","F",6.787,"RB","RB",0,3.021254216
"0515","A","F",6.812,"RB","RB",28,2.41794505
"0465","A","F",6.814,"RB","RB",82,2.990806222
"0385","A","F",6.836,"RB","RB",48,2.314348394
"0523","A","F",6.854,"RB","RB",79,NA
"0219","A","F",6.856,"RB","RB",0,2.976858088
"0524","A","F",6.861,"RB","RB",63,3.039815615
"0540","A","F",6.906,"RB","RB",44,3.000979917
"0350","A","F",6.917,"RB","RB",0,3.137737386
"0463","A","F",6.972,"RB","RB",72,NA
"0469","A","F",7.004,"RB","RB",89,NA
"0569","A","F",7.017,"RB","RB",61,2.755417367
"0538","A","F",7.03,"RB","RB",74,2.460685867
"0102","A","F",7.047,"RB","RB",61,3.996592555
"0083","A","F",7.055,"RB","RB",84,NA
"0233","A","F",7.07,"RB","RB",99,3.967437195
"0537","A","F",7.071,"RB","RB",0,2.943507843
"0531","A","F",7.072,"RB","RB",32,2.391410378
"0322","A","F",7.093,"RB","RB",70,3.106053769
"0095","A","F",7.104,"RB_black","RB",55,NA
"0460","A","F",7.172,"RB","RB",71,2.170634721
"0541","A","F",7.222,"RB","RB",71,2.879662493
"0597","A","F",7.235,"RB","RB",71,NA
"0456","A","F",7.237,"RB","RB",46,3.768980597
"0101","A","F",7.246,"RB","RB",45,3.334047628
"0568","A","F",7.276,"RB","RB",67,3.228061469
"0192","A","F",7.281,"RB","RB",102,3.335688255
"0061","A","F",7.306,"RB","RB",75,NA
"0069","A","F",7.32,"RB","RB",0,NA
"0528","A","F",7.402,"RB","RB",46,2.184754021
"0574","A","F",7.403,"RB","RB",60,NA
"0418","A","F",7.431,"RB","RB",97,2.964049755
"0403","A","F",7.468,"RB","RB",81,2.903716077
"0078","A","F",7.472,"RB","RB",64,NA
"0107","A","F",7.477,"RB","RB",58,NA
"0516","A","F",7.519,"RB","RB",45,2.539965146
"0373","A","F",7.559,"RB","RB",86,2.466044386
"0371","A","F",7.609,"RB","RB",81,4.061051282
"0581","A","F",7.61,"RB","RB",48,3.362834982
"0496","A","F",7.699,"RB","RB",76,3.021636003
"0106","A","F",7.704,"RB","RB",0,3.710018619
"0099","A","F",7.722,"RB","RB",66,4.119056568
"0381","A","F",7.779,"RB","RB",36,4.098814226
"0194","A","F",7.797,"RB","RB",89,NA
"0575","A","F",7.913,"RB","RB",0,3.079820197
"0230","A","F",8.008,"RB","RB",99,NA
"0113","A","F",8.168,"RB","RB",0,3.898363781
"0344","A","F",8.194,"RB","RB",119,3.39095249
"0065","A","F",8.224,"RB","RB",84,NA
"0196","A","F",8.234,"RB","RB",130,4.844476046
"0076","A","F",8.255,"RB","RB",12,NA
"0224","A","F",8.674,"RB","RB",121,4.618085802
"0558","A","F",8.699,"RB","RB",101,3.768678965
"0384","A","F",8.743,"RB","RB",96,4.084270882
"0577","A","F",8.751,"RB","RB",23,3.784623418
"0583","A","F",9.612,"RB","RB",153,5.612929528
"0511","A","F",5.171,"W","W",10,1.20909795
"0534","A","F",5.778,"W","W",21,2.065058091
"0555","A","F",6.023,"W","W",21,NA
"0503","A","F",6.044,"W","W",31,1.884654732
"0499","A","F",6.113,"W","W",29,2.159024722
"0453","A","F",6.135,"W","W",29,NA
"0450","A","F",6.242,"W","W",38,NA
"0406","A","F",6.261,"W","W",28,2.157516259
"0212","A","F",6.686,"W","W",41,2.620938814
"0393","A","F",6.688,"W","W",78,2.829412881
"0096","A","F",6.756,"W","W",58,3.455431243
"0500","A","F",6.954,"W","W",44,NA
"0396","A","F",7.048,"W","W",0,3.238212866
