"","BCPD","Lifestage","Sex","Morph_original","maxPower","maxFreq","propPower","R","G","B","Cluster"
"86",562,"A","M","red",0.144851137,90.50966632,0.091386353,7.153975561,2.278779022,1.734842504,"2"
"87",565,"A","M","red_gold",0.226570027,127.9999974,0.086365293,8.114864972,4.529727636,3.405739366,"2"
"88",571,"A","M","red",0.129864531,127.9999974,0.086141738,6.528009259,2.790679781,2.308189183,"2"
"89",572,"A","M","gold_red",0.294951797,45.25483331,0.0911564,8.193204468,5.37625008,3.914492626,"1"
"90",573,"A","M","red",0.153189247,127.9999974,0.103030171,7.239629762,2.330246172,1.873832657,"2"
"91",579,"A","M","red_speckle",0.281231835,90.50966632,0.089897222,9.297376473,4.503480848,3.762626234,"2"
"92",596,"A","M","gold_red",0.256278001,15.99999984,0.088970006,7.514081369,5.0769764,3.675421451,"1"
"93",599,"A","M","white_hourglass",1.394351108,31.99999957,0.159096204,15.85854498,13.43643254,10.999714928,"3"
"94",616,"A","M","white_back_beige",1.907216362,31.99999957,0.118931011,24.63808706,21.94214737,17.92365191,"3"
"95",620,"A","M","white_back_beige",1.27789665,31.99999957,0.11430951,19.29405245,16.47486407,12.51960494,"3"
"96",622,"A","M","white_hourglass",1.773556372,31.99999957,0.158688529,18.26722786,15.41973439,13.59684046,"3"
"97",631,"A","M","gold_red",0.300738865,11.3137084,0.096134911,8.480121364,5.472131585,3.647060684,"1"
"98",634,"A","M","white_back_beige",2.239784693,45.25483331,0.136276665,24.26318203,21.07654476,16.32004442,"3"
"99",635,"A","M","beige_pink",0.966712014,63.99999893,0.123641003,16.21391879,11.151536272,7.347618402,"3"
"210",72,"A","M","xmas",0.536688499,15.99999984,0.092889785,13.86348632,4.626744834,3.195630461,"M"
"321",185,"A","M","xmas",0.565413195,90.50966632,0.117061456,12.307718272,6.479747238,5.288056748,"M"
"691",307,"A","M","fluor",0.809731658,45.25483331,0.1055297,23.78552392,4.857213789,3.050122547,"M"
"110",386,"A","M","brown_beige_border",0.451361346,31.99999957,0.098890901,7.511694155,5.339680935,4.235914723,"M"
"111",389,"A","M","fluor",0.959772254,63.99999893,0.116460443,25.03244152,5.383213337,3.138714408,"M"
"124",413,"A","M","brown_beige_border",0.273802262,31.99999957,0.093525758,6.244857658,4.428423246,2.737151955,"M"
"128",419,"A","M","mimic_purple",0.425633133,63.99999893,0.131459973,7.659066748,7.625339168,12.499120419,"M"
"129",420,"A","M","mimic_orange_type2",1.591306425,90.50966632,0.121060819,23.33780643,20.13524721,18.95700453,"M"
"136",466,"A","M","green",0.324191455,31.99999957,0.105654533,7.844977936,7.3855096,3.510675282,"M"
"139",481,"A","M","mimic_orange_type1",0.772432896,31.99999957,0.106633034,16.90444574,11.117274348,7.953399708,"M"
"141",483,"A","M","fluor",0.767001775,45.25483331,0.116842475,22.69574679,3.861423555,2.546535164,"M"
"154",518,"A","M","xmas",0.246644567,90.50966632,0.096465438,8.910124908,3.809193994,2.976145636,"M"
"155",519,"A","M","xmas",0.255510025,90.50966632,0.101884428,9.197999995,3.725154363,2.928532915,"M"
"181",576,"A","M","xmas",0.230341258,45.25483331,0.090130974,7.976568106,3.332777683,2.407092808,"M"
"196",621,"A","M","xmas",0.356898927,45.25483331,0.098196792,9.042511203,4.159182165,2.933194453,"M"
